parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4
pop_size_root_CamiguinNorte2	1000	1.000903631412359	827.9660306611278	147.21656081310573	74.45588188394021	146.9363457627562	82.88571445526205	171.96154558268145
ln_likelihood	1100	1.0146291887530716	363.85280385346283	45.882188293061645	56.23573547916791	93.17266197302953	33.91597677118069	76.83243889928991
ln_likelihood_BabuyanClaro0	1100	1.0174799375133208	364.97417069987887	70.89321975833452	48.3528312478421	101.0	33.386706560304354	101.0
root_height_BabuyanClaro0	1100	1.0016112728766395	505.0	101.0	92.53572514929186	101.0	101.0	101.0
pop_size_BabuyanClaro0	1100	1.0060454334029505	279.2967524260059	35.64366377196365	47.22345218085777	101.0	38.42705255086209	68.50446498009913
pop_size_Calayan0	1100	1.0255452165470305	210.64840004785782	101.0	45.898706627772505	92.645826435178	39.49602968515106	94.16508775389897
pop_size_root_BabuyanClaro0	1100	1.0134634171564638	237.71638729138598	82.3302744941317	101.0	40.5874233076625	38.00429648032146	43.13199031312965
ln_likelihood_MaestreDeCampo1	1100	1.0021062696448342	324.8072646545392	45.402382755862206	101.0	58.915105083194696	98.47075487242732	90.0864288193917
root_height_MaestreDeCampo1	1100	1.0008347795984789	505.0	101.0	79.48133354475964	101.0	101.0	101.0
pop_size_MaestreDeCampo1	1100	1.0102531964725994	321.6925169367863	101.0	52.373146501597176	49.97132884390212	92.39034907363768	101.0
pop_size_Masbate1	1100	1.0073996049779377	267.09912057529016	65.80603694085679	101.0	35.03426575484206	54.29689712165614	101.0
pop_size_root_MaestreDeCampo1	1100	1.0037133092920556	425.9819618810212	101.0	101.0	72.74071854404261	82.69149829804692	47.078454676812676
ln_likelihood_CamiguinNorte2	1100	1.0142767368132959	204.32605475467545	85.6581310663728	47.68864304725945	41.585948054674176	73.66116323401482	36.0523970867813
root_height_CamiguinNorte2	1100	1.0129650480732066	203.4480953397339	60.022339469271	34.23435007516294	28.5043868402389	64.51051798120213	30.90906666143032
pop_size_CamiguinNorte2	1100	1.008048640632492	209.49802264439697	35.839545484724106	26.39080520568115	37.766558995248324	71.82184736484096	51.47112292255415
